University Name,Doctorates,grad students,floorspace,R&D expenditures,Class
Tennessee Technological U.,20,80,105817,15387,R2
Texas Christian U.,33,232,107500,15336,R2
James Madison U.,21,177,122052,14687,R2
Loma Linda U.,32,351,95031,14029,R2
Idaho State U.,32,335,217252,13953,R2
Sam Houston State U.,24,397,92582,13315,R2
Duquesne U.,69,232,386618,10521,R2
Texas Southern U.,18,122,67092,9128,R2
Clark Atlanta U.,22,69,122700,8892,R2
Ball State U.,26,405,142677,8826,R2
"U. Maryland, Eastern Shore",15,32,114236,8636,R2
Clark U.,24,339,53911,7931,R2
U. San Diego,29,275,40121,7580,R2
Claremont Graduate U.,114,653,21024,7235,R2
Eastern Michigan U.,32,205,58610,7233,R2
DePaul U.,19,1116,67380,6675,R2
Indiana U. Pennsylvania,71,186,52076,6180,R2
Seton Hall U.,33,290,0,5320,R2
Azusa Pacific U.,12,493,33207,5318,R2
